Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
21-180.txt,1,88,96.54,58.97,2.40,94.75,22.00,32.95,69.32,39.77,6.82,1.14,0.00,0.00,0.00,0.00,1.14,5.68,10.23,12.50,4.55,2.27,4.55,0.00,5.68,3.41,1.14,1.14,2.27,1.14,4.55,4.55,0.00,0.00,0.00,0.00,3.41,0.00,0.00,0.00,0.00,9.09,3.41,0.00,0.00,2.27,2.27,1.14,2.27,2.27,0.00,0.00,3.41,1.14,2.27,0.00,0.00,5.68,0.00,1.14,1.14,4.55,0.00,2.27,3.41,1.14,4.55,0.00,3.41,1.14,7.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.77,4.55,4.55,0.00,0.00,0.00,0.00,3.41,0.00,0.00,2.27,0.00
21-194.txt,1,39,99.00,60.13,8.65,25.77,19.50,33.33,69.23,43.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,23.08,2.56,0.00,2.56,0.00,5.13,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,2.56,0.00,5.13,0.00,2.56,2.56,0.00,12.82,0.00,10.26,2.56,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-143.txt,1,176,82.34,43.22,31.94,35.71,29.33,32.95,70.45,42.05,7.95,1.14,0.00,0.00,0.57,0.00,0.57,6.82,6.25,11.93,7.39,4.55,5.11,1.14,11.93,3.98,2.84,1.70,3.41,2.27,5.11,2.84,2.27,0.00,0.00,0.57,2.27,0.00,0.00,0.00,0.00,17.05,4.55,5.68,2.27,1.70,1.14,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.52,0.00,2.84,1.70,2.27,2.27,1.14,9.66,1.14,12.50,2.27,7.39,2.27,1.70,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,3.98,7.39,0.00,0.00,1.70,0.00,1.70,0.00,0.00,3.41,0.00
21-157.txt,1,29,93.26,24.51,47.93,99.00,14.50,27.59,86.21,55.17,13.79,10.34,10.34,0.00,0.00,0.00,0.00,3.45,17.24,10.34,6.90,3.45,3.45,0.00,17.24,0.00,0.00,0.00,0.00,0.00,10.34,10.34,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,10.34,3.45,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,3.45,3.45,3.45,0.00,0.00,0.00,20.69,3.45,10.34,0.00,3.45,6.90,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-8.txt,1,86,95.95,45.37,8.57,47.26,21.50,36.05,76.74,41.86,4.65,1.16,1.16,0.00,0.00,0.00,0.00,3.49,11.63,12.79,2.33,3.49,9.30,1.16,5.81,4.65,2.33,1.16,0.00,3.49,3.49,2.33,1.16,0.00,0.00,0.00,3.49,0.00,0.00,0.00,0.00,15.12,4.65,2.33,1.16,4.65,1.16,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,0.00,3.49,2.33,0.00,1.16,0.00,4.65,0.00,5.81,0.00,4.65,1.16,15.12,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,1.16,0.00,10.47,4.65,3.49,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00
21-13.txt,1,223,71.48,65.69,18.83,42.02,27.88,21.52,82.96,52.02,11.66,5.38,2.24,0.90,0.00,0.00,2.24,5.83,9.42,11.66,12.56,2.69,5.38,1.79,19.28,6.28,4.48,2.69,1.79,3.59,2.69,1.79,0.90,0.00,0.45,0.45,9.87,0.00,0.00,0.00,0.00,17.04,4.48,2.69,3.59,4.48,0.90,2.69,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.00,5.83,3.59,0.00,1.79,0.45,0.00,2.69,11.66,0.45,9.87,0.00,6.28,3.59,4.04,2.69,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,20.18,2.24,4.93,2.24,0.00,1.35,0.00,2.69,0.90,0.90,3.59,1.35
21-235.txt,1,82,89.15,40.36,4.76,99.00,20.50,25.61,79.27,46.34,3.66,1.22,1.22,0.00,0.00,0.00,0.00,2.44,10.98,10.98,13.41,0.00,6.10,2.44,19.51,4.88,1.22,0.00,4.88,3.66,6.10,6.10,0.00,0.00,0.00,0.00,4.88,0.00,0.00,0.00,0.00,17.07,4.88,1.22,6.10,2.44,1.22,3.66,7.32,6.10,0.00,1.22,1.22,1.22,0.00,0.00,0.00,3.66,2.44,1.22,1.22,1.22,0.00,6.10,7.32,0.00,7.32,0.00,6.10,1.22,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.76,4.88,3.66,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00
21-221.txt,1,46,88.21,66.81,4.59,99.00,23.00,50.00,82.61,41.30,8.70,2.17,0.00,0.00,0.00,0.00,2.17,6.52,4.35,15.22,6.52,4.35,4.35,0.00,15.22,6.52,4.35,0.00,0.00,0.00,6.52,6.52,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,15.22,6.52,4.35,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,2.17,0.00,0.00,10.87,2.17,6.52,0.00,2.17,0.00,0.00,8.70,4.35,6.52,2.17,4.35,0.00,17.39,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52,4.35,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-209.txt,1,39,99.00,60.13,8.65,25.77,19.50,33.33,69.23,43.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,23.08,2.56,0.00,2.56,0.00,5.13,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,2.56,0.00,5.13,0.00,2.56,2.56,0.00,12.82,0.00,10.26,2.56,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,5.13,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21-208.txt,1,30,70.69,90.87,82.75,99.00,15.00,33.33,80.00,43.33,10.00,10.00,3.33,0.00,6.67,0.00,0.00,0.00,3.33,13.33,10.00,6.67,3.33,0.00,6.67,6.67,0.00,3.33,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,0.00,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,3.33,10.00,6.67,0.00,0.00,16.67,0.00,16.67,3.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.67,6.67,6.67,0.00,0.00,6.67,0.00,3.33,0.00,0.00,6.67,6.67
