Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
19-177.txt,1,155,86.04,18.32,31.24,5.30,19.38,29.68,76.13,47.74,10.97,6.45,6.45,0.00,0.00,0.00,0.00,4.52,11.61,9.68,7.10,1.94,5.16,1.94,10.97,5.16,1.94,0.65,0.65,0.65,7.10,2.58,4.52,0.00,0.00,0.00,2.58,0.00,0.00,0.00,0.00,15.48,4.52,3.23,2.58,0.65,1.29,3.23,0.00,0.00,0.00,0.00,0.65,0.65,0.00,0.00,0.00,1.94,0.00,0.00,1.29,0.00,0.65,0.65,9.03,0.00,6.45,0.00,3.87,2.58,5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.71,5.16,4.52,0.00,0.00,0.00,0.00,0.65,1.29,0.00,2.58,4.52
19-178.txt,1,733,97.20,46.18,13.79,85.44,18.79,31.11,69.85,40.93,4.23,0.27,0.00,0.00,0.00,0.00,0.27,3.96,10.64,13.64,6.41,3.00,3.82,0.95,9.28,5.46,2.05,1.50,5.46,2.32,5.87,4.64,1.23,0.00,0.14,0.27,2.05,0.00,0.00,0.00,0.00,13.10,4.09,3.27,0.95,2.05,1.23,2.05,1.36,0.68,0.00,0.68,0.27,0.00,0.00,0.14,0.14,4.77,0.00,1.91,1.91,0.82,0.41,1.36,6.82,0.00,9.28,0.95,6.96,1.36,4.64,0.00,0.00,0.41,0.00,0.00,0.27,0.00,0.14,0.14,0.14,0.00,18.83,4.50,3.00,0.95,0.00,0.95,0.00,2.18,1.64,0.14,4.64,0.82
19-179.txt,1,267,98.90,44.05,10.53,84.99,22.25,33.33,75.66,47.57,2.62,1.12,0.00,0.00,0.00,0.00,1.12,1.50,14.98,15.73,7.49,3.75,4.49,1.12,10.49,8.99,5.24,0.75,0.37,1.87,6.37,4.87,1.50,0.00,0.00,1.50,2.62,0.00,0.00,0.00,0.00,11.61,2.25,4.12,1.12,0.37,1.12,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,0.37,3.37,0.37,2.62,1.50,2.62,7.12,0.00,9.36,0.00,5.99,3.37,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.12,4.49,1.87,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
19-18.txt,1,236,99.00,43.26,1.36,73.27,21.45,32.63,69.92,40.68,1.27,0.42,0.00,0.00,0.00,0.00,0.42,0.85,13.98,13.14,5.08,1.27,5.93,0.42,8.90,6.36,2.97,0.42,0.00,2.54,5.08,3.81,1.27,0.00,0.00,1.27,1.27,0.00,0.00,0.00,0.00,10.59,2.54,2.97,1.69,1.27,0.00,2.54,0.85,0.42,0.00,0.42,0.42,0.00,0.00,0.00,0.42,3.81,0.85,2.12,0.85,0.42,0.00,2.12,5.93,0.00,4.24,0.00,2.54,1.69,9.75,0.42,0.00,0.42,0.00,0.00,1.27,0.00,0.42,0.42,0.85,0.00,19.07,6.36,2.97,1.27,0.00,0.00,0.00,5.51,0.85,0.00,1.69,0.42
19-180.txt,1,448,95.10,34.38,9.61,81.93,20.36,29.91,78.12,49.11,5.58,2.68,0.00,0.00,0.00,0.00,2.68,2.90,12.28,14.51,7.37,2.90,6.03,2.68,10.49,4.91,2.90,0.89,0.45,2.46,4.91,4.02,0.89,0.00,0.00,0.22,4.69,0.00,0.00,0.00,0.00,16.74,2.46,5.13,1.79,2.46,0.45,6.03,0.45,0.45,0.00,0.00,0.22,0.22,0.00,0.00,0.00,3.79,0.22,2.23,0.89,0.22,0.89,2.46,8.04,0.89,6.47,1.12,4.46,0.89,7.37,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.22,0.00,12.95,5.80,2.90,0.00,0.22,0.00,0.00,0.67,1.34,0.22,1.79,0.00
19-181.txt,1,340,94.98,45.32,15.86,74.98,20.00,32.65,82.35,45.59,6.76,2.65,1.76,0.00,0.00,0.00,0.88,4.12,12.35,12.06,8.53,1.47,4.41,1.18,15.00,7.06,3.82,0.88,4.71,2.94,7.35,5.00,2.35,0.29,0.00,0.59,5.29,0.00,0.00,0.00,0.00,19.12,4.41,4.71,3.24,3.24,0.59,3.53,1.18,0.88,0.29,0.00,0.00,0.00,0.00,0.00,0.00,5.29,1.18,1.47,0.88,1.18,1.47,3.53,9.12,0.59,8.53,1.18,5.29,2.35,4.71,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.59,5.00,2.65,2.65,0.00,0.59,0.00,0.00,3.53,0.00,0.00,1.18
19-182.txt,1,457,93.46,32.30,23.32,83.93,19.04,22.54,75.27,48.58,8.32,3.28,2.41,0.44,0.22,0.00,0.22,5.03,11.60,13.57,6.56,3.50,4.60,1.97,10.72,5.47,1.53,1.53,4.16,2.63,4.16,3.72,0.44,0.00,0.00,0.00,2.41,0.00,0.00,0.00,0.00,12.91,3.06,1.97,2.19,2.41,0.66,3.28,1.09,1.09,0.00,0.00,0.44,0.44,0.00,0.00,0.00,3.28,0.66,0.66,0.88,0.88,0.44,1.09,9.19,0.00,10.07,0.88,8.32,0.88,6.13,0.00,0.22,0.22,0.00,0.00,0.66,0.00,0.66,0.44,0.00,0.00,18.38,5.69,6.78,0.00,0.00,0.22,0.00,1.31,0.88,0.00,2.19,1.31
19-183.txt,1,197,98.08,27.13,32.49,97.04,15.15,20.81,81.22,46.70,4.06,1.02,1.02,0.00,0.00,0.00,0.00,3.05,14.72,13.71,7.61,1.52,5.58,1.52,12.18,12.69,5.58,0.51,1.52,1.02,7.11,6.09,1.02,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00,12.18,4.57,2.03,2.03,2.54,0.00,4.06,1.02,1.02,0.00,0.00,2.54,2.54,0.00,0.00,0.00,9.14,0.51,3.55,3.55,4.06,0.51,1.02,11.17,0.51,10.66,0.51,9.64,0.51,3.05,0.51,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.00,0.00,13.20,7.11,3.55,0.00,0.00,0.00,0.00,1.02,0.00,0.00,1.02,0.51
19-184.txt,1,352,97.94,29.46,22.55,88.42,25.14,26.99,75.28,48.58,6.25,2.84,2.56,0.28,0.00,0.00,0.00,3.41,11.36,17.61,6.53,3.12,4.83,0.57,11.65,5.11,4.55,1.42,1.42,1.70,5.97,4.83,1.14,0.00,0.00,0.57,0.85,0.00,0.00,0.00,0.00,17.05,5.97,2.84,2.84,1.70,1.42,3.41,1.14,0.85,0.28,0.00,0.85,0.57,0.00,0.00,0.28,4.55,0.28,1.14,1.99,1.14,0.57,1.70,8.24,0.28,7.39,0.85,4.83,1.70,3.12,0.28,0.00,0.00,0.28,0.00,0.85,0.00,0.57,0.85,0.00,0.00,21.31,4.26,2.27,2.27,0.00,0.85,0.00,1.99,1.70,0.85,3.41,3.69
19-185.txt,1,941,84.40,53.83,5.84,87.62,15.95,28.27,80.34,48.57,8.29,3.72,1.81,0.85,0.53,0.00,0.53,4.57,9.35,12.43,10.52,4.46,4.46,0.85,16.58,6.06,2.98,0.96,1.49,4.46,5.74,4.68,1.06,0.00,0.21,0.32,4.99,0.00,0.00,0.00,0.00,15.94,2.76,3.61,3.61,4.04,1.28,2.76,0.96,0.64,0.11,0.21,0.21,0.00,0.11,0.00,0.11,6.16,1.17,2.23,1.59,1.59,0.74,3.93,10.84,0.43,7.86,0.96,4.46,2.55,5.84,0.53,0.00,0.32,0.21,0.00,0.43,0.00,0.00,0.00,0.43,0.00,47.61,7.97,3.29,0.96,0.00,0.00,0.11,2.55,1.91,0.32,1.70,28.80
